artist,nominations,year_with_most_nominations,most_common_category,most_common_award_class
Terence Blanchard,3,2004,Best Instrumental Composition,album
Terence Trent D'arby,1,1988,"Best R&B Vocal Performance, Male",track
Teri Ralston,1,1973,Best Score From The Original Cast Show Album,album
Teri Rolston,1,1970,Best Score From An Original Cast Show Album,album
Terrance Simien,2,2007,Best Regional Roots Music Album,album
Terraza Big Band,1,2019,Best Large Jazz Ensemble Album,album
Terri Lyne Carrington,2,2011,Best Jazz Instrumental Album,album
Terry Allen And The Panhandle Mystery Band,1,2019,Best Album Notes,album
Terry Bozzio,1,1989,Best Rock Instrumental Performance,track
Terry Lewis,1,1986,Producer Of The Year (Non-Classical),other
Texas Boys Choir,2,1966,Best Choral Performance (Other Than Opera),track
Texas Tornados,1,1990,Best Mexican-American Performance,track
Thad Jones,1,1978,"Best Jazz Instrumental Performance, Big Band",track
Thalma de Freitas,1,2019,Best Latin Jazz Album,album
That Was The Week That Was Cast,1,1964,"Best Documentary, Spoken Word Or Drama Recording (Other Than Comedy)",track
The,1,2010,Best Alternative Music Album,album
The 1975,1,2019,Best Rock Song,track
The Afro Latin Jazz Orchestra,2,2014,Best Instrumental Composition,album
The Afro-Latin Jazz Orchestra,1,2008,Best Latin Jazz Album,album
The Alan Parsons Project,1,2018,Best Immersive Audio Album,album
The Allman Brothers Band,1,1995,Best Rock Instrumental Performance,track
The Archers,1,1980,"Best Gospel Performance, Contemporary Or Inspirational",track
The Art Of Noise,1,1986,"Best Rock Instrumental Performance (Orchestra, Group Or Soloist)",track
The Associates Choir,1,1998,Best Gospel Choir Or Chorus Album,album
The Band Perry,1,2014,Best Country Duo/Group Performance,track
The Beach Boys,1,2012,Best Historical Album,album
The Beatles,16,1967,Best Engineered Recording - Non-Classical,album
The Bill Gaither Trio,2,1973,Best Inspirational Performance,track
The Bill Holman Band,2,1995,Best Instrumental Arrangement,other
The Black Eyed Peas,6,2009,Best Rap Performance By A Duo Or Group,track
The Black Keys,5,2012,Best Recording Package,track
The Blackwood Brothers,1,1969,Best Gospel Performance,track
The Blind Boys Of Alabama,5,2001,Best Traditional Soul Gospel Album,album
The Blowfish,2,1995,Best New Artist,artist
The Blues Machine,1,1984,Best Traditional Blues Recording,track
The Bob Florence Limited Edition,1,1999,Best Large Jazz Ensemble Performance,track
The Boss Brass,3,1983,Best Arrangement On An Instrumental,other
The Boys Choir of Harlem,1,1990,Best Instrumental Composition Written For A Motion Picture Or For Television,other
The Brian Lynch/Eddie Palmieri Project,1,2006,Best Latin Jazz Album,album
The Brian Setzer Orchestra,3,1998,Best Pop Instrumental Performance,track
The Brooklyn Tabernacle Choir,5,1995,Best Gospel Choir Or Chorus Album,album
The Carters,1,2018,Best Urban Contemporary Album,album
The Chainsmokers,1,2016,Best Dance Recording,track
The Champs,1,1958,Best Rhythm & Blues Performance,track
The Charles Fold Singers,1,1980,"Best Soul Gospel Performance, Traditional",track
The Charlie Daniels Band,1,1979,Best Country Vocal Performance By A Duo Or Group,track
The Chemical Brothers,7,2019,Best Dance Recording,album
The Chestnut Brass Company,1,1999,Best Classical Crossover Album,album
The Chieftains,6,1992,Best Traditional Folk Album,album
The Chipmunks,1,1964,Best Engineered Recording - Special Or Novel Effects,track
The Chipmunks Ross Bagdasarian,1,1958,Best Comedy Performance,track
The Civil Wars,4,2011,Best Country Duo/Group Performance,track
The Clare Fischer Latin Jazz Big Band,1,2012,Best Latin Jazz Album,album
The Clare Fischer Orchestra,1,2013,Best Instrumental Composition,other
The Clark Sisters,3,2007,Best Gospel Performance,track
The Clash,1,2002,Best Long Form Music Video,other
The Cleveland Orchestra,1,2010,Best Instrumental Soloist(s) Performance (with Orchestra),track
The Clinch Mountain Boys,1,2002,Best Bluegrass Album,album
The Coasters,1,1986,Best Historical Album,album
The Count Basie Orchestra,1,1987,Best Instrumental Arrangement Accompanying Vocal(s),other
The Cox Family,1,1994,"Best Southern Gospel, Country Gospel Or Bluegrass Gospel Album",album
The Cranberries,1,2019,Best Rock Album,album
The Creator,1,2019,Best Rap Album,album
The Crossing,6,2019,Best Choral Performance,track
The Del McCoury Band,1,2005,Best Bluegrass Album,album
The Delfonics,1,1970,"Best R&B Performance By A Duo Or Group, Vocal Or Instrumental",track
The Derek Trucks Band,1,2009,Best Contemporary Blues Album,album
The Disciples,2,1975,Best Soul Gospel Performance,track
The Dominos,1,2011,Best Surround Sound Album,album
The Doobie Brothers,4,1979,Best Arrangement Accompanying Vocals,track
The Doors,1,2010,Best Long Form Music Video,other
The Drifters,1,1986,Best Historical Album,album
The Earls Of Leicester,1,2014,Best Bluegrass Album,album
The Edge,1,2004,Best Rock Song,track
The Edwin Hawkins Singers,1,1977,"Best Soul Gospel Performance, Contemporary",track
The Eric Whitacre Singers,1,2011,Best Choral Performance,track
The Eurythmics,1,1986,Best Rock Performance By A Duo Or Group With Vocal,track
The Fairfield Four,2,1997,Best Roots Gospel Album,album
The Family,2,1996,Best Contemporary Soul Gospel Album,album
The Family Band,1,2019,Best Contemporary Blues Album,album
The Family Stone,1,2006,Best R&B Performance By A Duo Or Group With Vocals,track
The Flaming Lips,2,2002,Best Rock Instrumental Performance,track
The Flecktones,6,1996,Best Contemporary Jazz Album,album
The Fresh Prince,2,1988,Best Rap Performance,track
The Funk Brothers,2,2002,"Best Compilation Soundtrack Album For A Motion Picture, Television Or Other Visual Media",album
The Gaither Vocal Band,1,1991,Best Southern Gospel Album,album
The Gotham Jazz Orchestra,1,2019,Best Large Jazz Ensemble Album,album
The Happy Goodman Family,2,1968,Best Gospel Performance,track
The Harlem Boys Choir,1,2007,Best Gospel Performance,track
The Heartbreakers,1,2008,Best Long Form Music Video,other
The Homecoming Friends,1,2001,"Best Southern, Country, or Bluegrass Gospel Album",album
The Imperials,4,1975,Best Gospel Performance (Other Than Soul Gospel),track
The Imposters,1,2019,Best Traditional Pop Vocal Album,album
The Infamous Stringdusters,1,2017,Best Bluegrass Album,album
The Jazz Cats,1,2018,Best Children's Album,album
The Jazz Messengers,1,1984,"Best Jazz Instrumental Performance, Group",track
The Jordanaires,1,2002,"Best Southern, Country, or Bluegrass Gospel Album",album
The Judds,7,1986,Best Country Performance By A Duo Or Group With Vocal,track
The Kendalls,1,1977,Best Country Vocal Performance By A Duo Or Group,track
The Kentucky Headhunters,1,1990,Best Country Performance By A Duo Or Group With Vocal,track
The Kimberlys,1,1969,Best Country Performance By A Duo Or Group With Vocal,track
The King's Singers,2,2008,Best Choral Performance,album
The Kingston Trio,2,1958,Best Country & Western Performance,track
The Klezmatics,1,2006,Best Contemporary World Music Album,album
The Legends,1,2000,Best Tejano Album,album
The Light Crust Doughboys,1,2002,"Best Southern, Country, or Bluegrass Gospel Album",album
The Love Fellowship Crusade Choir,1,1994,Best Gospel Album By A Choir Or Chorus,album
The MG's,1,1994,Best Pop Instrumental Performance,track
The Magnetic Zeros,1,2012,Best Long Form Music Video,other
The Manhattan Transfer,10,1981,"Best Jazz Vocal Performance, Duo Or Group",track
The Maranatha! Kids,1,1991,Best Album For Children,album
The Mars Volta,1,2008,Best Hard Rock Performance,track
The Masters V,1,1981,"Best Gospel Performance, Traditional",track
The Mavericks,1,1995,Best Country Performance By A Duo Or Group With Vocal,track
The Maytals,1,2004,Best Reggae Album,album
The Melody Makers,3,1988,Best Reggae Recording,track
The Metropolitan Opera Chorus,2,2012,Best Opera Recording,track
The Metropolitan Opera Orchestra,2,2012,Best Opera Recording,track
The Mexican Revolution,1,2008,Best Tejano Album,album
The Monday Night Orchestra,1,1988,"Best Jazz Instrumental Performance, Big Band",track
The Monks Of Sherab Ling Monastery,1,2003,Best Traditional World Music Album,album
The Muddy Basin Ramblers,1,2019,Best Recording Package,track
The Muppets,5,1970,Best Recording For Children,track
The Nash Ramblers,2,1991,Best Bluegrass Album,album
The Nashville Bluegrass Band,2,1993,Best Bluegrass Album,album
The National,1,2017,Best Alternative Music Album,album
The Neptunes,1,2003,"Producer Of The Year, Non-Classical",other
The New Broadway Cast,1,1992,Best Musical Show Album,album
The New Broadway Cast Including Bernadette Peters,1,1999,Best Musical Show Album,album
The New Christy Minstrels,1,1962,Best Performance By A Chorus,track
The New Hawks,1,1984,Best Traditional Blues Recording,track
The New South,1,1983,Best Country Instrumental Performance,track
The News,1,1985,"Best Music Video, Long Form",other
The Oak Ridge Boys,5,1970,Best Gospel Performance (Other Than Soul Gospel),track
The Okee Dokee Brothers,2,2012,Best Children's Album,album
The Oscar Peterson Trio,1,1990,"Best Jazz Instrumental Performance, Group",track
The Phantom Blues Band,1,2000,Best Contemporary Blues Album,album
The Phil Woods Quartet,1,1983,"Best Jazz Instrumental Performance, Group",track
The Pips,3,1973,"Best Pop Vocal Performance By A Duo, Group Or Chorus",track
The Pointer Sisters,2,1974,Best Country Vocal Performance By A Duo Or Group,track
The Police,6,1983,Best Rock Instrumental Performance,track
The Potter's House Mass Choir,1,2003,Best Gospel Choir Or Chorus Album,album
The Po’ Ramblin’ Boys,1,2019,Best Bluegrass Album,album
The Raconteurs,1,2008,"Best Engineered Album, Non-Classical",album
The Range,1,1986,Best New Artist,artist
The Revolution,3,1984,Best Album Of Original Score Written For A Motion Picture Or A Television Special,track
The Rivertown Kids And Friends,1,2010,Best Musical Album For Children,album
The Robert Cray Band,3,1987,Best Contemporary Blues Recording,track
The Robert Farnon Orchestra,1,1995,Best Instrumental Arrangement,other
The Rochester Philharmonic Orchestra,2,2019,Best Classical Instrumental Solo,other
The Rolling Stones,5,1994,Best Album Package,album
The Roots,4,2010,Best R&B Album,track
The Royal Philharmonic Orchestra,1,2010,Best Classical Crossover Album,album
The Saints Unified Voices,1,2005,Best Gospel Choir Or Chorus Album,album
The Santa Fe Opera Orchestra,1,2018,Best Opera Recording,track
The Scott Family,1,2016,Best Contemporary Christian Music Album,album
The Sesame Street Cast,1,1985,Best Recording For Children,track
The Sesame Street Muppets,2,1986,Best Musical Album For Children,album
The Silk Road Ensemble,1,2016,Best World Music Album,album
The Silver Bullet Band,2,1980,Best Album Package,album
The Smashing Pumpkins,2,1996,Best Hard Rock Performance,track
The Sounds Of Blackness,1,1991,Best Gospel Album By Choir Or Chorus,album
The Southern California Community Choir,2,1974,Best Gospel Album By A Choir Or Chorus,album
The Spanish Heart Band,1,2019,Best Latin Jazz Album,album
The Stanley Clarke Band,1,2010,Best Contemporary Jazz Album,album
The Statler Brothers,2,1965,Best Contemporary (R&R) Performance - Group (Vocal Or Instrumental),track
The Steeldrivers,1,2015,Best Bluegrass Album,album
The String Theory,1,2019,"Best Spoken Word Album (Includes Poetry, Audio Books & Storytelling)",album
The Temptations,5,1972,Best R&B Instrumental Performance,track
The Teskey Brothers,1,2019,"Best Engineered Album, Non-Classical",album
The Time Jumpers,1,2016,Best American Roots Song,track
The Tonight Show Band,2,1986,Best Arrangement On An Instrumental,other
The Tony Rich Project,1,1996,Best R&B Album,album
The Travelin' McCourys,1,2018,Best Bluegrass Album,album
The Vanguard Jazz Orchestra,2,2004,Best Instrumental Arrangement,album
The WDR Big Band Conducted By Vince Mendoza,1,2019,Best Instrumental Composition,other
The Wallflowers,2,1997,Best Rock Performance By A Duo Or Group With Vocal,track
The War On Drugs,1,2017,Best Rock Album,album
The Wayne Shorter Quartet,1,2018,Best Jazz Instrumental Album,album
The Weeknd,3,2015,Best Urban Contemporary Album,album
The White Stripes,6,2003,Best Alternative Music Album,album
The Whites,1,2007,"Best Southern, Country, Or Bluegrass Gospel Album",album
The Winans,5,1985,"Best Soul Gospel Performance By A Duo, Group, Choir Or Chorus",track
The Winstons,1,1969,Best Rhythm & Blues Song,track
The Zawinul Syndicate,1,2009,Best Contemporary Jazz Album,album
The Zydeco Experience,2,2007,Best Regional Roots Music Album,album
The-Dream,1,2012,Best Rap/Sung Collaboration,other
Their Homecoming Friends,1,1999,"Best Southern, Country, Or Bluegrass Gospel Album",album
Thelma Houston,1,1977,"Best R&B Vocal Performance, Female",track
Thelonious Monk,3,1987,Best Album Cover,album
Them Crooked Vultures,1,2010,Best Hard Rock Performance,track
Theo Croker,1,2019,Best Contemporary Instrumental Album,album
Theodore,2,1958,Best Engineered Record - Non-Classical,track
They Might Be Giants,1,2008,Best Musical Album For Children,album
Third Day,4,2002,Best Rock Gospel Album,album
Third World,1,2019,Best Reggae Album,album
Thom Bell,1,1974,Best Producer Of The Year,other
Thom Yorke,4,2019,Best Alternative Music Album,other
Thomas Dybdahl,1,2019,"Best Engineered Album, Non-Classical",album
Thomas Frost,1,1986,Classical Producer Of The Year,other
Thomas Kiorbye,1,2009,Best Small Ensemble Performance,track
Thomas Newman,6,2002,Best Instrumental Arrangement,other
Thomas Quasthoff,1,2007,Best Choral Performance,track
Thomas Rhett,1,2019,Best Country Album,album
Thomas Young,1,2005,Best Choral Performance,track
Thompson Community Singers,1,1994,Best Gospel Album By A Choir Or Chorus,album
Thundercat,1,2015,Best Rap/Sung Collaboration,other
Tia Carrere,2,2008,Best Hawaiian Music Album,album
Tierney Sutton Band,1,2019,Best Jazz Vocal Album,album
Tim Curry,1,2005,Best Musical Show Album,album
Tim Handley,1,2005,"Producer Of The Year, Classical",other
Tim Kubart,1,2015,Best Children's Album,album
Tim McGraw,5,2004,Best Country Collaboration With Vocals,track
Tim Menzies,1,2019,Best Roots Gospel Album,album
Tim Munro,2,2011,Best Chamber Music/Small Ensemble Performance,track
Tim O'Brien,1,2005,Best Traditional Folk Album,album
Tim Rice,1,1993,Best Song Written Specifically For A Motion Picture Or For Television,track
Timbaland,1,2006,Best Dance Recording,track
Tina Turner,8,1984,"Best Rock Vocal Performance, Female",track
Tinariwen,1,2011,Best World Music Album,album
Tito Puente,6,1978,Best Tropical Latin Performance,track
Tito Vandis,1,1965,Best Score From An Original Cast Show Album,album
Toby Vaughn Kidd,1,2015,Best Choral Performance,track
TobyMac,3,2008,Best Contemporary Christian Music Album,album
Tobymac,1,2015,Best Contemporary Christian Music Album,album
Tom Chapin,3,2001,Best Spoken Word Album For Children,album
Tom Jones,1,1965,Best New Artist,artist
Tom Petty,3,1995,Best Engineered Album - Non-Classical,album
Tom Scott GRP All-Star Big Band,1,1995,Best Large Jazz Ensemble Performance,track
Tom T. Hall,1,1972,Best Album Notes,album
Tom Waits,2,1992,Best Alternative Music Album,album
Tom Wopat,1,1999,Best Musical Show Album,album
Tommy Allsup,1,1999,Best Country Instrumental Performance,track
Tommy Dorsey,3,1984,Best Historical Album,album
Toni Braxton,7,1993,Best Female R&B Vocal Performance,track
Tony Bennett,22,1962,Best Traditional Pop Vocal Album,track
Tony Hymas,1,1989,Best Rock Instrumental Performance,track
Tony Iommi,1,2019,Best Metal Performance,track
Tony Williams,1,1994,"Best Jazz Instrumental Performance, Individual Or Group",track
Tool,5,2019,Best Metal Performance,track
Toots,1,2004,Best Reggae Album,album
Tori Kelly,1,2018,Best Gospel Album,album
Toto,6,1982,Album Of The Year,other
Toumani Diabaté,2,2005,Best Traditional World Music Album,album
Tove Lo,1,2019,Best Music Video,other
Tracy Chapman,4,1988,Best Contemporary Folk Recording,track
Train,3,2001,Best Instrumental Arrangement Accompanying Vocalist(s),track
Tramaine Hawkins,2,1980,"Best Gospel Performance, Contemporary Or Inspirational",track
Traveling Wilburys,1,1989,Best Rock Performance By A Duo Or Group With Vocal,track
Travis Scott,1,2019,Best Rap/Sung Performance,track
Travis Tritt,2,1992,Best Country Collaboration With Vocals,other
Trent Reznor,1,2012,Best Score Soundtrack For Visual Media,other
Trevor Noah,1,2019,Best Comedy Album,album
Trisha Yearwood,4,1997,"Best Arrangement, Instruments and Vocals",other
Trondheimsolistene,1,2019,Best Immersive Audio Album,album
Tui Hirv,1,2013,Best Choral Performance,track
Turtle Island Quartet,1,2007,Best Classical Crossover Album,album
Turtle Island String Quartet,1,2005,Best Classical Crossover Album,album
Twenty One Pilots,1,2016,Best Pop Duo/Group Performance,track
Ty Dolla $ign,1,2019,Best Dance Recording,track
Tycho,1,2019,Best Dance/Electronic Album,album
Tye Tribbett,2,2013,Best Gospel Album,album
Tyler,1,2019,Best Rap Album,album
Tyler Childers,1,2019,Best Country Solo Performance,track
U2,18,2001,Best Rock Performance By A Duo Or Group With Vocal,track
USA For Africa - Various Artists,3,1985,"Best Music Video, Short Form",track
USA For Africa Various Artists,1,1985,Record Of The Year,track
Union Station,12,1997,Best Bluegrass Album,album
University Musical Society Choral Union,1,2005,Best Choral Performance,track
University Of Michigan Chamber Choir,1,2005,Best Choral Performance,track
University Of Michigan Orpheus Singers,1,2005,Best Choral Performance,track
University Of Michigan School Of Music Symphony Orchestra,1,2005,Best Choral Performance,track
University Of Michigan University Choir,1,2005,Best Choral Performance,track
Uranienborg Vokalensemble,1,2019,"Producer Of The Year, Classical",other
Usher,8,2004,Best Male R&B Vocal Performance,track
Uta Hagen,1,1963,"Best Documentary, Spoken Word Or Drama Recording (Other Than Comedy)",track
V.M. Bhatt,1,1993,Best World Music Album,album
Vadim Gan,1,2019,Best Choral Performance,track
Val,1,1960,Best Engineering Contribution - Popular Recording,track
Vale Rideout,1,2011,"Best Engineered Album, Classical",album
Vampire Weekend,4,2019,Best Alternative Music Album,album
Van Halen,1,1991,Best Hard Rock Performance With Vocal,track
Van Hunt,1,2006,Best R&B Performance By A Duo Or Group With Vocals,track
Van McCoy,1,1975,Best Pop Instrumental Performance,track
Van Morrison,2,1995,Best Pop Collaboration With Vocals,other
Vancouver Symphony Orchestra,1,2007,Best Instrumental Soloist(s) Performance (with Orchestra),track
Various Artists,126,2019,Best Album Notes,album
Various Artists (Helen St. John,1,1983,Best Instrumental Composition,other
Vassar Clements,1,2004,Best Country Instrumental Performance,track
Vaughan Brothers,2,1990,Best Contemporary Blues Recording,track
Vaughn Meader,2,1962,Album Of The Year (Other Than Classical),album
Velvet Revolver,1,2004,Best Hard Rock Performance,track
Verdell Primeaux,1,2001,Best Native American Music Album,album
Vic Dana,1,1963,Best Instrumental Theme,other
Vicente Fernández,3,2009,Best Regional Mexican Music Album (Including Tejano),album
Vicente García,1,2019,Best Tropical Latin Album,album
Vienna Boys Choir,1,1972,"Best Choral Performance, Classical (Other Than Opera)",track
Vienna Philharmonic,2,1987,Best Classical Performance - Instrumental Soloist(s) (With Orchestra),track
Vienna Philharmonic Orchestra,5,1964,Best Opera Recording,track
Vienna Singverein Chorus,1,1972,"Best Choral Performance, Classical (Other Than Opera)",track
Vienna State Opera Chorus,1,1972,"Best Choral Performance, Classical (Other Than Opera)",track
Vienna State Opera Orchestra,1,1988,Best Opera Recording,track
Vijay Prakash,1,2009,"Best Song Written For Motion Picture, Television Or Other Visual Media",track
Vikki Carr,3,1985,Best Mexican-American Performance,track
Vince Gill,20,1992,Best Male Country Vocal Performance,track
Vince Guaraldi Trio,1,1962,Best Original Jazz Composition,other
Vince Mendoza,3,2019,"Best Arrangement, Instrumental or A Cappella",other
Vince Mendoza conducting The WDR Big Band Köln,1,2006,Best Large Jazz Ensemble Album,album
Vincent Bauer,1,2005,Best Small Ensemble Performance (with or without Conductor),track
Vincent de Rosa,1,1962,Best Album Cover - Classical,album
Virginia Capers,1,1974,Best Score From The Original Cast Show Album,album
Virginia Majewski,1,1962,Best Album Cover - Classical,album
Virginia Warnken,1,2013,Best Chamber Music/Small Ensemble Performance,track
Vitor Gonçalves,1,2019,Best Latin Jazz Album,album
Vladimir Horowitz,3,1965,"Best Engineered Recording, Classical",track
Voces Del Bullerengue,1,2019,Best Recording Package,track
Vox Clamantis,1,2013,Best Choral Performance,track
Wallace Roney,1,1994,"Best Jazz Instrumental Performance, Individual Or Group",track
Walt Dohrn,1,2016,Best Song Written For Visual Media,track
Walter Afanasieff,1,1999,"Producer Of The Year, Non-Classical",other
Walter Carlos,1,1969,"Best Engineered Recording, Classical",track
Walter Hawkins,1,1980,"Best Gospel Performance, Contemporary Or Inspirational",track
Walter Ostanek,2,1992,Best Polka Album,album
Walter Ostanek Band,1,1994,Best Polka Album,album
Wandsworth School Boys Choir,2,1971,Best Choral Performance - Classical,track
Wanz,2,2013,Best Rap Performance,track
Ward Stare,1,2019,Best Contemporary Classical Composition,other
Ward Swingle The Swingle Singers,4,1963,Best Performance By A Chorus,track
Warren Zevon,2,2003,Best Contemporary Folk Album,album
Warsaw Philharmonic Choir,1,2016,Best Choral Performance,track
Warsaw Philharmonic Orchestra,1,2016,Best Choral Performance,track
Washington Choir,1,1999,Best Choral Performance,track
Waylon Jennings,3,1969,Best Country Performance By A Duo Or Group With Vocal,track
Wayne Coyne,1,2006,"Best Engineered Album, Non-Classical",album
Wayne Shorter,5,2003,Best Instrumental Composition,other
Wayne Shorter Quartet,1,2005,"Best Jazz Instrumental Album, Individual or Group",album
Wayne Toups,1,2012,Best Regional Roots Music Album,album
Weather Report,1,1979,"Best Jazz Fusion Performance, Vocal Or Instrumental",track
Weezer,1,2008,Best Short Form Music Video,other
Weird Al Yankovic,5,1984,Best Comedy Album,album
Wes Montgomery,2,1966,Best Instrumental Jazz Performance - Group Or Soloist With Group,track
White,1,2011,Best Jazz Instrumental Album,album
White Sun,1,2016,Best New Age Album,album
Whitney Houston,7,1993,"Best Pop Vocal Performance, Female",track
Whoopi Goldberg,1,1985,Best Comedy Recording,track
Wiener Sängerknaben,1,2001,Best Choral Performance,track
Wilco,2,2004,Best Alternative Music Album,album
Wilhelm Furtwängler,1,2019,Best Boxed Or Special Limited Edition Package,other
Will Ackerman,1,2004,Best New Age Album,album
Will Champion,1,2008,Song Of The Year,track
Will Jennings,1,1998,Best Song Written For A Motion Picture Or For Television,track
Will Lee,1,2006,Best Large Jazz Ensemble Album,album
Will Smith,2,1997,Best Rap Solo Performance,track
William Bell,1,2016,Best Americana Album,album
William Boggs,1,2011,"Best Engineered Album, Classical",album
William Daniels,1,1965,Best Score From An Original Cast Show Album,album
William Murphy,1,2019,Best Gospel Album,album
William Orbit,1,1999,"Best Song Written For A Motion Picture, Television Or Other Visual Media.",track
William Preucil,1,1996,Best Chamber Music Performance,track
William Warfield,1,1983,Best Spoken Word Or Non-Musical Recording,track
Willie 'Big Eyes' Smith,1,2010,Best Traditional Blues Album,album
Willie Dixon,1,1988,Best Traditional Blues Recording,track
Willie Nelson,14,1982,Best Country Song,track
Willy Chirino,1,2005,Best Salsa/Merengue Album,album
Wilson Savoy,1,2012,Best Regional Roots Music Album,album
Wind,8,1978,"Best R&B Vocal Performance By A Duo, Group Or Chorus",track
Wine,2,2019,Best American Roots Performance,album
Wings,5,1974,Best Arrangement Accompanying Vocalist(s),track
Wisin y Yandel,1,2008,Best Latin Urban Album,album
Wolfmother,1,2006,Best Hard Rock Performance,track
Women Of The Atlanta Symphony Orchestra Chorus,1,2006,Best Opera Recording,track
Woody Guthrie,2,2007,Best Boxed Or Special Limited Edition Package,album
Woody Herman,4,1963,Best Jazz Performance By A Big Band,track
Wouter Kellerman,1,2014,Best New Age Album,album
Wu Man,1,2008,"Best Engineered Album, Classical",album
Wyatt Cenac,1,2010,"Best Spoken Word Album (Includes Poetry, Audio Books & Story Telling)",album
Wynton Marsalis,4,1986,"Best Jazz Instrumental Performance, Group",album
Wynton Marsalis Group,1,1985,"Best Jazz Instrumental Performance, Group",track
Włodek Pawlik Trio,1,2013,Best Large Jazz Ensemble Album,album
YACHT,1,2019,Best Immersive Audio Album,album
YBN Cordae,2,2019,Best Rap Album,album
Yebba,1,2018,Best Traditional R&B Performance,track
Yellowjackets,2,1986,Best Jazz Fusion Performance,track
Yes,1,1984,Best Rock Instrumental Performance,track
Ying Quartet,1,2005,Best Classical Crossover Album,album
Yo-Yo Ma,12,2003,Best Classical Crossover Album,album
Yoko Ono,1,1981,Album Of The Year,album
Yola,4,2019,Best American Roots Performance,track
Yolanda Adams,4,1999,Best Contemporary Soul Gospel Album,album
Yolanda Kondonassis,1,2019,Best Contemporary Classical Composition,other
Young MC,1,1989,Best Rap Performance,track
Young Nudy,1,2019,Best Rap Performance,track
Young People's Chorus Of NY City,2,2019,Best Contemporary Classical Composition,album
Young The Giant,1,2019,"Producer Of The Year, Non-Classical",other
Young Thug,1,2019,Best Rap/Sung Performance,track
Youssou N'Dour,1,2004,Best Contemporary World Music Album,album
Yusef Lateef,1,1987,Best New Age Performance,track
Yvonne Naef,1,2009,Best Choral Performance,track
Zac Brown Band,3,2009,Best Country Album,album
Zac Cockrell,1,2015,Best Rock Song,track
Zach Williams,1,2017,Best Contemporary Christian Music Album,album
Zachary Levi,1,2011,Best Song Written For Visual Media,track
Zakir Hussain,1,2008,Best Contemporary World Music Album,album
Zappa Plays Zappa,1,2008,Best Rock Instrumental Performance,track
Zdenek Macal,1,2000,"Best Engineered Album, Classical",album
Zedd,1,2013,Best Dance Recording,track
Ziggy Marley,8,1988,Best Reggae Album,album
Zooey Deschanel,1,2016,Best Song Written For Visual Media,track
Zoé,1,2018,"Best Latin Rock, Urban or Alternative Album",album
Zubin Mehta,1,1982,Best Classical Vocal Soloist Performance,track
choral director,1,1993,"Best Engineered Recording, Classical",track
composer,2,2019,Best Musical Theater Album,album
cond.,1,1959,Best Recording For Children,track
conductor,36,1959,"Best Engineered Recording, Classical",track
dc Talk,4,1993,Best Rock Gospel Album,album
director,1,1998,Best Large Jazz Ensemble Performance,track
for KING,1,2019,Best Contemporary Christian Music Album,album
guitar,2,1958,Best Engineered Record (Classical),track
iLe,2,2016,"Best Latin Rock, Urban or Alternative Album",album
k.d. lang,4,1988,Best Country Vocal Collaboration,track
lyricist,2,2019,Best Musical Theater Album,album
narrator,1,1999,Best Classical Crossover Album,album
piano,3,1965,"Best Engineered Recording, Classical",track
producers,1,1986,Best Contemporary Folk Recording,track
songwriter Auli'i Cravalho,1,2017,Best Song Written For Visual Media,track
songwriter Bruce Springsteen,1,1994,Best Song Written Specifically For A Motion Picture Or For Television,track
songwriter Carly Simon,1,1989,Best Song Written Specifically For A Motion Picture Or Television,track
songwriter Celine Dion,1,1996,Best Song Written Specifically For A Motion Picture Or For Television,track
songwriter James Taylor,1,2006,"Best Song Written For Motion Picture, Television Or Other Visual Media",track
songwriter R. Kelly,1,1997,Best Song Written Specifically For A Motion Picture Or For Television,track
songwriter Randy Newman,1,2002,"Best Song Written For A Motion Picture, Television Or Other Visual Media",track
songwriter Sarah McLachlan,1,2000,"Best Song Written For A Motion Picture, Television Or Other Visual Media.",track
songwriters A.R. Rahman,1,2009,"Best Song Written For Motion Picture, Television Or Other Visual Media",track
songwriters Adele,1,2013,Best Song Written For Visual Media,track
songwriters Annie Lennox,1,2004,"Best Song Written For A Motion Picture, Television Or Other Visual Media",track
songwriters Bryan Adams,1,1991,Best Song Written Specifically For A Motion Picture Or For Television,track
songwriters Celine Dion,2,1992,Best Song Written For A Motion Picture Or For Television,track
songwriters Common,1,2015,Best Song Written For Visual Media,track
songwriters Idina Menzel,1,2014,Best Song Written For Visual Media,track
songwriters Jennifer Hudson,1,2007,"Best Song Written For Motion Picture, Television Or Other Visual Media",track
songwriters Josh Groban,1,2005,"Best Song Written For Motion Picture, Television Or Other Visual Media",track
songwriters Justin Timberlake,1,2016,Best Song Written For Visual Media,track
songwriters Linda Ronstadt,1,1987,Best Song Written Specifically For A Motion Picture Or Television,track
songwriters Madonna,1,1999,"Best Song Written For A Motion Picture, Television Or Other Visual Media.",track
songwriters Mandy Moore,1,2011,Best Song Written For Visual Media,track
songwriters Peabo Bryson,1,1993,Best Song Written Specifically For A Motion Picture Or For Television,track
songwriters Peter Gabriel,1,2008,"Best Song Written For Motion Picture, Television Or Other Visual Media",track
songwriters Phil Collins,1,1988,Best Song Written Specifically For A Motion Picture Or Television,track
songwriters Ryan Bingham,1,2010,"Best Song Written For Motion Picture, Television Or Other Visual Media",track
songwriters Taylor Swift,1,2012,Best Song Written For Visual Media,track
songwriters The Folksmen,1,2003,"Best Song Written For A Motion Picture, Television Or Other Visual Media",track
